,name,category,moreInfoURL,logoURL,id,description,membership,meetingDetails,websiteURL
0,2018-2019 First-Year Living Learning Communities,Academic,https://orgsync.com/179616,https://cdn0.orgsync.com/images/os-profile-pics/6734f72d-9bbb-4fe0-b352-ad614298d3c7.jpg?cover=1&s=100,179616,"This organization contains all students from the Honors, Explore, Impact, Grand Challenges, Global Leadership, and iGniTe LLCs. For more information on each individual LLC, please visit the respective portal or website.",,,
1,84s to 800s,Community Service,https://orgsync.com/171918,https://orgsync.com/assets/icons/portals/no_org_profile_150.png,171918,"The purpose of our club is to collect graphing calculators from graduating Georgia Tech seniors and rent them out to high school students, free of charge, for standardized tests. We will offer free tutoring sessions twice a month for these students so they can learn how to effectively use their new calculators on these standardized tests.","There are no requirements to be a general member of the club. Once a general member, the new recruits are required to take tutoring training courses. Once they have taken the required classes at the club, they will officially be tutors.",,
2,A Cappella,Recreation/Leisure,https://orgsync.com/142413,https://cdn3.orgsync.com/images/os-profile-pics/fhqb53sobzl6l1u_150.jpg?cover=1&s=100,142413,"Georgia Tech A Cappella includes Nothin' But Treble, GT's premier women's a cappella group and Sympathetic Vibrations, GT's premier all-male a cappella group.
--
Nothin' But Treble, Georgia Tech's premiere all- female a cappella group, was founded in 1998 by Dipika Jain as part of the Georgia Tech A Cappella Club, along with the guys' a cappella group Sympathetic Vibrations (est. 1997). The group is made up of a variety of Georgia Tech students from Engineering and Biology to STAC majors. There are typically 10 to 12 active members ranging from Freshmen to Graduate students. All of the music in Nothin' But Treble's growing repertoire is arranged by a current or former member of the group. We rehearse at least twice a week and perform at various venues and events. In the past we have performed at the Variety Playhouse in Little 5 Points, for College of Management events, and opened for Nappy Roots, Bubba Sparxxx, and Crime Mob. We've also performed annually at Georgia Tech's PhD Commencement and at the annual Presidential Scholars' weekend. Nothin' but Treble has also competed at SoJam (2012) and the ICCA's (2015), taking home an award for Best Arrangement at the Southeast Regional ICCA competition for ""Chandelier"".
Website: https://www.nothinbuttreblegt.com/
--
Sympathetic Vibrations (SympVibes) is an all-male a cappella group founded in the Fall of 1997 by James Clawson. We usually have 12-15 active members as well as some members who are on co-op rotations or other various diversions. We rehearse three times a week and sing music arranged by members and alumni of the group. We perform at various events on Georgia Tech's campus, in Atlanta, and across the state of Georgia. We also hold a few of our own concerts at various campus venues each semester. In 2017, we competed in The International Championship of Collegiate A Cappella (ICCA), winning 1st place in South Quarterfinals and 2nd place in the South Semifinals. 
Website: http://sympvibes.com/","Auditions are held each fall in the first couple of weeks in the semester, and occasionally in the spring as necessary. Please email business@sympvibes.com or nothinbuttreblegt@gmail.com for more information.","Sunday, Tuesday, Thursday",https://www.nothinbuttreblegt.com/
3,Aarohi,Cultural,https://orgsync.com/136488,https://cdn1.orgsync.com/images/os-profile-pics/kc078so7b5uxi8l_150.jpg?cover=1&s=100,136488,"Aarohi is a community of like-minded individuals passionate about South Asian classical music. Our goals are to spread awareness of these art forms in the Georgia Tech and ATL communities through concerts, lec-dems, and other events.",Anyone interested in South Asian classical music can contact us and find out how to be part of the team.,Thursday,http://www.facebook.com/aarohigt
4,Academic Quizbowl Team,Professional/Departmental,https://orgsync.com/135855,https://cdn4.orgsync.com/images/os-profile-pics/x6khe63fpgn7y35_150.jpg?cover=1&s=100,135855,A collegiate level academic team that competes around the country in classical quizbowl tournaments.,"Feel free to come by practice and drop in - we don't have any formal tryouts or anything, we're just a bunch of people having fun reading questions.","Monday, Thursday",http://quizbowl.gtorg.gatech.edu/
5,Acoustical Society of America,Production/Performance/Publication,https://orgsync.com/136060,https://cdn3.orgsync.com/images/os-profile-pics/ef373f40-58a9-47cf-848a-288346aa14b3.png?cover=1&s=100,136060,The purpose of the Georgia Tech Chapter of the Acoustical Society of America is to increase and diffuse the knowledge of acoustics & promote its practical applications.,Membership is open to anyone with an interest any of the diverse subjects in the broad field of acoustics.,,http://gtasa.gtorg.gatech.edu/asa/
6,Active Minds,Political,https://orgsync.com/177597,https://cdn1.orgsync.com/images/os-profile-pics/d7e0854d-5b64-49c5-83db-cc6c510d4eca.png?cover=1&s=100,177597,"Welcome to Active Minds at Georgia Tech!
We are the student-run chapter of Active Minds here at Georgia Tech. Just like the main national organization, this chapter is dedicated to supporting mental health awareness in our community and beyond. We aim to create a stigma-free environment and changing the conversation about mental health among students. 
Join us today!!!","Membership will take effect when an interested party signs the membership roster through OrgSync, using a gatech.edu email address.",,
7,Actuarial Club,Professional/Departmental,https://orgsync.com/177173,https://cdn1.orgsync.com/images/os-profile-pics/492f8ebc-1779-4872-b371-e5c2c66c04f8.jpg?cover=1&s=100,177173,"To assist prospective and practicing actuaries from the Georgia Tech community enabling them to come together to help one another find resources, give guidance, and make new contacts.","Hello everyone,
This semester (Fall 2018) meeting are open to the general public. If you have any interest in becoming an actuary or learning more about the field please feel free to stop by. Next semester (Spring 2018) to be a member one must a) pay the club fee, b) show up to meetings, c) (if they want) submit resume to resume book that will be given to employers who come and speak with us.",Wednesday,https://www.facebook.com/groups/gtactuarialclub/
8,Aerospace Design-Build-Fly Club,Professional/Departmental,https://orgsync.com/135856,https://cdn4.orgsync.com/images/os-profile-pics/kvfy37dhgkhcfgl_150.jpg?cover=1&s=100,135856,"The team designs, builds, and flies custom remote control airplanes for the annual SAE Aero Design East and AIAA DBF competition.",Feel free to ask to join the organization here or visit us in Weber 102 on Tuesday and Thursday nights,"Tuesday, Thursday",
9,African American Student Union,Cultural,https://orgsync.com/137873,https://cdn4.orgsync.com/images/os-profile-pics/rxt6wzansk8tznc_150.jpg?cover=1&s=100,137873,"The African American Student Union has five fundamental responsibilities: to provide a voice for Black students at the Georgia Institute of Technology, to promote social and cultural awareness in the Georgia Tech community, to improve and maintain relationships between African-American students and students of other ethnic backgrounds, to provide a social and cultural outlet for its members, and to take an active part in the activities of the Institute. We go about attending to these responsibilities within the framework set forth by our eight Pillars of Unity: Self Cultural Awareness, Effective Leadership, Community Service, Scholarship, Coalition Building, Social Awareness, Political Awareness, Economic Empowerment.","Membership is $30 per semester and includes a tee-shirt and free admittance to all paid events such as Onyx Ball, Black Leadership Conference, and more. Membership dues are used to support the various activities of AASU. We also have a $15 option that includes a free t-shirt and entrance to select events.",Tuesday,http://www.gtaasu.org
